architecture,uncertainty_level,selection_rule,threshold,coverage,risk_regret,conditional_ece
A6,all,confidence_and_non_abort,0.7499999999999999,0.099,0.11375267098053322,0.22154435872357645
A6,all,confidence_and_non_abort,0.7999999999999999,0.018,0.0815273495765051,0.18736960483707046
A6,all,confidence_and_non_abort,0.85,0.0,,
A6,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A6,all,confidence_and_non_abort,0.95,0.0,,
A7,all,non_abort_only,0.0,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.0,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.049999999999999996,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.09999999999999999,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.15,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.19999999999999998,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.24999999999999997,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.3,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.35,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.39999999999999997,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.44999999999999996,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.49999999999999994,0.725,0.17921836854266696,0.3606195612777442
A7,all,confidence_and_non_abort,0.5499999999999999,0.721,0.1785471642221439,0.3599483621292645
A7,all,confidence_and_non_abort,0.6,0.604,0.16306131163784499,0.3346008185153093
A7,all,confidence_and_non_abort,0.6499999999999999,0.408,0.14043462345328658,0.2851753828835836
A7,all,confidence_and_non_abort,0.7,0.241,0.1339123635909711,0.25254293321497995
A7,all,confidence_and_non_abort,0.7499999999999999,0.109,0.12870771215263,0.2231705923598204
A7,all,confidence_and_non_abort,0.7999999999999999,0.016,0.08420809897911533,0.18783007550144304
A7,all,confidence_and_non_abort,0.85,0.0,,
A7,all,confidence_and_non_abort,0.8999999999999999,0.0,,
A7,all,confidence_and_non_abort,0.95,0.0,,
A8,all,non_abort_only,0.0,0.737,0.18403390304736902,0.3631722355113326
A8,all,confidence_and_non_abort,0.0,0.737,0.18403390304736902,0.3631722355113326
